来源：hk.jobsdb.com,生成时间：2026-06-13 21:22:47,申请总数：43,记录总数：2171
序号,公司,职位,状态,来源,薪资,记录时间
152,Michael Page International (HK) Ltd,"Project Specialist (Insurance, 50k)",skipped_reject,Recommended,,2026-06-13 09:30:50
153,TEKsystems,AI Platform Lead & AI Engineer – Financial Services,skipped_reject,Recommended,,2026-06-13 09:31:07
154,CMB Wing Lung Bank Limited,AI Agent高级研发工程师 / 落地实施专家,skipped_reject,Recommended,,2026-06-13 09:31:20
155,Phoenix Satellite Television Co Ltd,Senior Engineer / Engineer (AI Applications),skipped_reject,Recommended,,2026-06-13 09:31:33
156,Bank of China (Hong Kong) Limited,"(Senior) Business Technology Manager (Financial Markets - Precious metal, FX",skipped_reject,Recommended,,2026-06-13 09:31:43
157,HKT,Data Scientist / Senior Data Scientist,skipped_reject,Recommended,,2026-06-13 09:32:02
158,TEKsystems,Data Engineer - Large Enterprise,skipped_reject,Recommended,,2026-06-13 09:32:17
159,Modern Dental Group Limited,Solution Architect (AI & Web),skipped_reject,Recommended,,2026-06-13 09:32:30
160,Integrated Global Solutions Limited,Senior Account Manager (IT Solutions),skipped_reject,Recommended,,2026-06-13 09:32:55
161,Optimum Solutions (Hong Kong) Limited,AI Analyst (Infrastructure focus),skipped_reject,Recommended,,2026-06-13 09:33:11
162,Galaxy Telecom (Hong Kong) Limited,AI Product Manager / Owner (ERP project),skipped_reject,Recommended,,2026-06-13 09:33:24
163,CKC Solutions Limited,AI Application Manager - up to 1 Million package,skipped_reject,Recommended,,2026-06-13 09:33:39
164,NTT Com Asia Limited,"Senior / Director, System Integration (Ref: JDB-SI)",skipped_reject,Recommended,,2026-06-13 09:33:56
165,Robert Walters (HK) Ltd,Senior Solution Architect (Insurance Life Ops),skipped_reject,Recommended,,2026-06-13 09:34:08
166,InfoTech Services ( HK ) Ltd. 資訊科技服務(香港)有限公司,"Contract Analyst Programmer (C39572) - BI, OCR, LLM, RAG, AI agent tools",skipped_reject,Recommended,,2026-06-13 09:34:23
167,Established Private Financial Services Group,Ai Associate,skipped_reject,Recommended,,2026-06-13 09:34:34
168,Himart Limited,Website Developer,skipped_reject,Recommended,,2026-06-13 09:34:50
169,SmarTone Telecommunications Limited,AI Engineer,skipped_reject,Recommended,,2026-06-13 09:35:01
170,Innotech International Holding Limited,Account Manager,skipped_reject,Recommended,,2026-06-13 09:35:12
171,DJRecruit Asia,AI Engineer - Expanding Crypto Exchange - Fully Remote - Up to HKD70k Per Month,applied,Recommended,,2026-06-13 09:35:48
172,CIAO International Limited,Senior AI Solution Engineer (Ref: 26052802),skipped_reject,Recommended,,2026-06-13 09:36:01
173,Protiviti Hong Kong Co. Limited,Data Scientist / AI Engineer (Insurance),skipped_reject,Recommended,,2026-06-13 09:36:14
174,HKBN JOS Limited (HKBNJOS),Cloud Solution Architect,skipped_reject,Recommended,,2026-06-13 09:36:29
175,HKBN JOS Limited (HKBNJOS),Project Manager (SI Projects),skipped_reject,Recommended,,2026-06-13 09:36:40
176,Accentrix Company Limited,AI Solution Engineer,skipped_reject,Recommended,,2026-06-13 09:36:52
177,CLP Power Hong Kong Limited 中華電力有限公司,Engineer - Digital Solutions (18-month Contract),skipped_reject,Recommended,,2026-06-13 09:37:11
178,China Life Insurance (Overseas) Company Limited,AI Application R&D Specialist,skipped_reject,Recommended,,2026-06-13 09:37:29
179,Ping An Securities (Hong Kong) Holdings Company Limited,Senior IT Officer/Assistant Manager (Application),skipped_reject,Recommended,,2026-06-13 09:37:52
180,China Mobile International Limited,AI Application Architect,skipped_reject,Recommended,,2026-06-13 09:38:10
181,Hong Kong RFID Limited,Programmer / Junior Software Engineer,skipped_reject,Recommended,,2026-06-13 09:38:28
182,AS Watson Retail (HK) Limited,Senior Data Scientist,skipped_reject,Recommended,,2026-06-13 09:38:53
183,Sa Sa Cosmetic Company Limited,Senior Programmer,skipped_reject,Recommended,,2026-06-13 09:39:07
184,Manpower Services (Hong Kong) Limited,Enterprise AI Lead,skipped_reject,Recommended,,2026-06-13 09:39:20
185,CITIC Telecom International Holdings Limited,AI Product Manager,skipped_reject,Recommended,,2026-06-13 09:39:33
186,Swing Consulting Limited,"Solution Architect (AI, Infrastructure, Bank / Finance, 65-85K)",skipped_reject,Recommended,,2026-06-13 09:39:45
187,SF Supply Chain (Hong Kong) Limited,"Assistant Manager, IT Customer Solution",skipped_reject,Recommended,,2026-06-13 09:39:59
188,Hong Kong Quantum AI Lab Limited,Software Architect,skipped_reject,Recommended,,2026-06-13 09:40:06
189,Magic Compass Securities Limited,"Artificial Intelligence Agent Associate / AI Builder (5 Day Work, Bonus)",skipped_reject,Recommended,,2026-06-13 09:40:18
190,Swire Properties Limited 太古地產有限公司,Senior System Analyst,skipped_reject,Recommended,,2026-06-13 09:40:32
191,Acton Consulting Limited,Artificial Intelligence ( AI ) Development Team - Newly Formed,skipped_reject,Recommended,,2026-06-13 09:40:49
192,Orient Overseas Container Line Ltd (OOCL),Technical Analyst (AI Data Engineer),skipped_reject,Recommended,,2026-06-13 09:41:04
193,Centre for Perceptual and Interactive Intelligence (CPII) Limited,Research Assistant (Intern) (Ref. CPII2026-011),skipped_reject,Recommended,,2026-06-13 09:41:17
194,Ambition,AI Engineer/ Developer (OnShore),skipped_reject,Recommended,,2026-06-13 09:41:29
195,Octopus Holdings Limited,Architect - Software Development,skipped_reject,Recommended,,2026-06-13 09:41:43
196,Pinpoint Asia,Data Scientist – Leading Technology Consultancy - J12851,skipped_reject,Recommended,,2026-06-13 09:41:55
197,Recruit Logic Limited,"AI Solution Architect (Leading Technology Company, up to 60K)",skipped_reject,SavedSearch:ai,,2026-06-13 09:46:39
198,Sun Life Hong Kong Ltd,AI - Technical Lead,skipped_reject,SavedSearch:ai,,2026-06-13 09:46:57
199,CISC Limited,AI Solution Architect (Ref: JDB/CISC/AI),skipped_reject,SavedSearch:ai,,2026-06-13 09:47:07
200,Bank of China (Hong Kong) Limited,"(Senior) AML Manager, AI development",skipped_reject,SavedSearch:ai,,2026-06-13 09:47:21
201,KOS International Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 09:47:34
202,APJ Software (Hong Kong) Company Limited,AI Lead (Banking Technology),skipped_reject,SavedSearch:ai,,2026-06-13 09:47:49
203,Robert Walters (HK) Ltd,Systems Development Manager (GenAI),skipped_reject,SavedSearch:ai,,2026-06-13 09:48:01
204,Virtual Gaming Technology Limited,Senior Software Engineer - AI,skipped_reject,SavedSearch:ai,,2026-06-13 09:48:17
205,SaneChoice HK Limited,AI and Data Systems Architecture Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 09:48:35
206,KPMG,"Associate Director, AI Lead, Technology Consulting (MJ007086)",skipped_reject,SavedSearch:ai,,2026-06-13 09:48:49
207,HKT,Senior Analyst Programmer (AI),skipped_reject,SavedSearch:ai,,2026-06-13 09:49:04
208,KPMG,"Data Engineer, Senior Consultant/Manager, Finance Consulting (MJ001226)",skipped_reject,SavedSearch:ai,,2026-06-13 09:49:20
209,Optimum Solutions (Hong Kong) Limited,AI Infrastructure Analyst,skipped_reject,SavedSearch:ai,,2026-06-13 09:49:39
210,Robert Walters (HK) Ltd,System Development Manager (GenAI),skipped_reject,SavedSearch:ai,,2026-06-13 09:49:59
211,Dah Chong Hong Holdings Limited,AI Platform Architect,skipped_reject,SavedSearch:ai,,2026-06-13 09:50:13
212,Robert Walters (HK) Ltd,AI Engineer Tech Lead,skipped_reject,SavedSearch:ai,,2026-06-13 09:50:26
213,Techforce Group Limited,"Solution Architect - Financial Services Platform - AI - HKD 80,000/ month",skipped_reject,SavedSearch:ai,,2026-06-13 09:50:36
214,KPMG,"Senior Consultant / Manager, Data Engineer, Transformation (MJ005881)",skipped_reject,SavedSearch:ai,,2026-06-13 09:50:55
215,Robert Walters (HK) Ltd,Senior Data Architect (GenAI),skipped_reject,SavedSearch:ai,,2026-06-13 09:51:08
216,Orient Overseas Container Line Ltd (OOCL),Data Scientist,skipped_reject,SavedSearch:ai,,2026-06-13 09:51:19
217,"TCL Corporate Research (Hong Kong) Co., Limited",AI Multi-modal & World Model Scientist,skipped_reject,SavedSearch:ai,,2026-06-13 09:51:32
218,CKC Solutions Limited,(Assistant) AI Application Manager - up to 1 Million package,skipped_reject,SavedSearch:ai,,2026-06-13 09:51:45
219,HKBN JOS Limited (HKBNJOS),AI Consultant,skipped_reject,SavedSearch:ai,,2026-06-13 09:51:56
220,"Facishare Co., Limited",AI Agent Algorithm Researcher,skipped_reject,SavedSearch:ai,,2026-06-13 09:52:10
221,Hays Hong Kong Limited,Head of AI,skipped_reject,SavedSearch:ai,,2026-06-13 09:52:22
222,Ikas International (Asia) Limited,AI Platform Lead - Financial Institutions,skipped_reject,SavedSearch:ai,,2026-06-13 09:52:37
223,KPMG,"Data Architect (Manager/Associate Director level), Finance Consulting (MJ001620)",skipped_reject,SavedSearch:ai,,2026-06-13 09:52:54
224,EDPS Systems Limited,Data Architect,skipped_reject,SavedSearch:ai,,2026-06-13 09:53:06
225,ConnectedGroup Limited,Data & AI Architect,skipped_reject,SavedSearch:ai,,2026-06-13 09:53:19
226,SaneChoice HK Limited,AI Algorithm Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 09:53:30
227,Global Headwear Limited,AI Engineer  (Garment/ MFG),skipped_reject,SavedSearch:ai,,2026-06-13 09:53:42
228,Robert Walters (HK) Ltd,"Manager, AI Innovation - Insurance",skipped_reject,SavedSearch:ai,,2026-06-13 09:53:59
